Link Text,Anchor to Be Replaced,New Anchor for Replacement,Line(s)
[main navigation](#main_navigation),#main_navigation,#main-navigation,75
[Apps Home](#apps_home),#apps_home,#apps-home,84
[configuration](#app_configuration),#app_configuration,#app-configuration,96
[pages](#pages_and_navigation),#pages_and_navigation,#pages-and-navigation,96
[elements](#add_actions_and_elements),#add_actions_and_elements,#add-actions-and-elements,98
[actions](#add_actions_and_elements),#add_actions_and_elements,#add-actions-and-elements,98
[Apps Home](#apps_home),#apps_home,#apps-home,99
[Apps Home](#apps_home),#apps_home,#apps-home,106
[app viewer](#view_app),#view_app,#view-an-app,150
[configuring the embedded app](#embed_app),#embed_app,#embed-an-app,178
[Apps Home](#apps_home),#apps_home,#apps-home,191
[app editor](#app_editor),#app_editor,#app-editor,193
[Configuration Tab — Custom Navigation](#configuration_tab),#configuration_tab,#configuration-tab-—-custom-navigation,199
[Apps Home](#apps_home),#apps_home,#apps-home,207
[app editor](#app_editor),#app_editor,#app-editor,212
[main navigation](#main_navigation),#main_navigation,#main-navigation,223
[left navigation and side panel](#left_navigation_side_panel),#left_navigation_side_panel,#left-navigation-and-side-panel,225
[canvas](#canvas),#canvas,#canvas,227
[right configuration panel](#configuration_panel),#configuration_panel,#right-configuration-panel,229
[Configuration Tab — Custom Navigation](#configuration_tab),#configuration_tab,#configuration-tab-—-custom-navigation,237
[Controls](#view_app),#view_app,#view-an-app,372
[Page Drill](#page_drill),#page_drill,#page-drill,378
[reorder](#reorder_pages),#reorder_pages,#pages-and-navigation,446
[Page Drill](#page_drill),#page_drill,#page-drill,457
[Layout components](#layout_components),#layout_components,#choose-a-layout,488
[layout](#layout),#layout,#choose-a-layout,562
[actions](#actions),#actions,#add-actions-and-elements,562
[content](#content),#content,#import-dashboard-content-to-an-app,562
[Settings](#settings_tab),#settings_tab,#settings-tab,741
[Actions](#actions_tab),#actions_tab,#actions-tab,741
[Filter Exceptions](#filter_exceptions_tab),#filter_exceptions_tab,#filter-exceptions-tab,741
[app controls](#controls),#controls,#add-a-variable-control,704
[configure persistent filters](#configure_persistent_filters),#configure_persistent_filters,#configure-persistent-filters,704
[Embed an App](#embed_app),#embed_app,#embed-an-app,706
