Link,Summary,Name good?,Grouping,Tier,Master Epic,Date Name,Date Value,Product Manager_displayName,PgM_displayName
DOMO-470350,"Add ""rows out"" telemetry for preview experience in Magic ETL",?,Magic Interface,,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-472829,Add ability to load other dataflow versions,?,Magic Interface,,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-484223,Magic ETL - execution details heatmap,,Magic Interface,,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-467543,Multi-Statement SQL Tile for Magic ETL,,Magic Tiles,1,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-484242,New Magic Canvas Navigation Controls,,Magic Interface,,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-456623,Customizable window layout options for Magic ETL,,Magic Interface,,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-456572,Dark Mode for Magic ETL,,Magic Interface,2,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-469569,Select Columns tile enhancements in Magic ETL,,Magic Tiles,,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-470723,ETL - Classification,,Magic Tiles,1,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-473400,ETL - Sentiment Analysis,,Magic Tiles,1,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-456527,Convert to SQL for Magic ETL tiles,,Magic Tiles,1,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-456610,Persistent user-level settings across Magic ETL DataFlows,,,2,Yes,Customer Release,2026-09-23,Andrea Henderson,Unassigned
DOMO-464175,Allow unknown schemas,,,,Yes,Beta Available,2026-09-16,Andrea Henderson,Unassigned
DOMO-471391,Page support in Flutter plugin,,x,3,Yes,Customer Release,2026-09-23,Chris Wright,Unassigned
DOMO-454489,Data Modeling Builder and Visualization integration,?,,1,Yes,Customer Release,2026-09-23,Chris Wright,Dany Salas
DOMO-355823,React Port: Alerts,,x,3,No,Customer Release,2026-09-23,Dan Brinton,Unassigned
DOMO-410705,Change scope and contents of DA-SID,,Other,2,Yes,Customer Release,2026-09-23,Dan Brinton,Felipe Suarez
DOMO-481266,Left Navigation Adoption - Phase 2,"? (do we want ""phase 2""?)",Nav?,1,Yes,Customer Release,2026-09-23,Dan Brinton,Dany Salas
DOMO-355383,Activity Log Webhook,,>,,Yes,Beta Available,2026-09-16,Dan Brinton,Unassigned
DOMO-485809,Discovery AI Tools,(Workspaces & Alerts MCP tools),MCP?,,Yes,Beta Available,2026-09-16,Dan Brinton,Dany Salas
DOMO-465244,Convert AI Chat credit consumption to AI Pro model,?,AI Chat,2,Yes,Customer Release,2026-09-23,Ken Boyer,Unassigned
DOMO-473591,AI Chat V2 - Beta,,AI Chat,1,Yes,Customer Release,2026-09-23,Ken Boyer,Unassigned
DOMO-485616,Cross-App Communication for Custom Apps (App Broadcasting),,App Enhancements,2,Yes,Beta Available,2026-09-16,Khushboo,Dany Salas
DOMO-492719,"Pvariable Support for Dashboards, App Studio & Embed",,App Enhancements,,Yes,Customer Release,2026-09-23,Khushboo Khushboo,Dany Salas
DOMO-484119,Archived DataSets Visual Indicator & UX Improvements,,,,Yes,Customer Release,2026-09-23,Leema Lallmamode,Lorena Barale
DOMO-477906,Enable export and import of JSON connector definitions,?,,,Yes,Beta Available,2026-09-16,Leema Lallmamode,Lorena Barale
DOMO-475132,Case Statement Builder,,>,1,Yes,Beta Available,2026-09-16,Phillip Fuchs,Dany Salas
DOMO-490250,Code Engine Package Usage Visibility and Deletion,,,,No,Customer Release,2026-09-23,Ryan Despain,Unassigned
DOMO-489844,MCP Trigger in Workflows,,MCP?,,Yes,Customer Release,2026-09-23,Ryan Despain,Unassigned
DOMO-485117,Azure SQL | Active Directory Service Principal authentication support,,,,Yes,Customer Release,2026-09-23,Sam Lowen,Unassigned
DOMO-493388,Lineage stability improvements,,x,3,No,Customer Release,2026-09-23,Sam Lowen,Unassigned
DOMO-494876,Support Databricks writeback to Azure-hosted Domo instances,?,,,No,Customer Release,2026-09-23,Sam Lowen,Unassigned
DOMO-485500,BigQuery Data Modeling Support,,,,No,Customer Release,2026-09-23,Sam Lowen,Unassigned
DOMO-468998,Databricks Export Reliability,,,,No,Customer Release,2026-09-23,Sam Lowen,Unassigned
DOMO-464660,Global & Fiscal Calendar Enhancements,,,1,Yes,Beta Available,2026-09-16,Sam Lowen,Unassigned
DOMO-493750,U2M OAuth-Only Integration Limitations,,,,No,Customer Release,2026-09-23,Sam Lowen,Unassigned
DOMO-463020,U2M OAuth-Only Read-only integration creation for engines that support OAuth,?,,,Yes,Customer Release,2026-09-23,Sam Lowen,Unassigned
DOMO-483713,Improve Versioning Code Engine Functions in Workflows,,,1,,,,Ryan - Not an Epic an Improvement,
DOMO-485078,Enable DataSet Query Task to return no rows,,,1,,,,Ryan - Not an Epic an Improvement,
DOMO-485843,DOMO Sandbox MCP Toolkit,,MCP,2,No,Beta Available,2026-09-23,Mamta Bolaki,Unassigned
DOMO-491224,MCP Automation Tools,,,,No,Beta Available,2023-09-24,Ryan Despain,
