Link,Grouping,PRD CONTENT??,Summary,Recommended New Name,Name good?,Tier,Domo Drop?,Top 5?,Master Epic,Date Name,Date Value,Product Manager_displayName
DOMO-470350,Magic Interface,Release Assets,"Add ""rows out"" telemetry for preview experience in Magic ETL",Output Row Preview,?,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-472829,Magic Interface,Release Assets,Add ability to load other dataflow versions,Dataflow Versioning Updates,?,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-484223,Magic Interface,Release Assets,Magic ETL - execution details heatmap,Execution Details Heatmap,,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-484242,Magic Interface,Release Assets,New Magic Canvas Navigation Controls,Canvas Navigation Controls,,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-456623,Magic Interface,Release Assets,Customizable window layout options for Magic ETL,Custom Window Layouts,,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-456572,Magic Interface,Release Assets,Dark Mode for Magic ETL,Dark Mode,,2,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-456610,Magic Interface,Release Assets,Persistent user-level settings across Magic ETL DataFlows,User Settings Persistence,,2,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-467543,Magic Tiles,Release Assets,Multi-Statement SQL Tile for Magic ETL,Multi-statement SQL tile,,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-469569,Magic Tiles,Release Assets,Select Columns tile enhancements in Magic ETL,Update to Select Columns tile,,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-470723,Magic Tiles,Release Asssets,ETL - Classification,New AI Classification tile,,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-473400,Magic Tiles,Release Assets,ETL - Sentiment Analysis,New AI Sentiment Analysis tile,,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-456527,Magic Tiles,Release Assets,Convert to SQL for Magic ETL tiles,Convert tiles to SQL,,1,Yes,,Yes,Customer Release,9/23/26,Andrea Henderson
DOMO-496412,Magic Tiles,YES,Documents support in Magic ETL,Unstructured data processing (New Documents Input Tile),,2,,,Yes,Beta Available,8/27/26,Ken Boyer
DOMO-454489,>,Yes - No comms,Data Modeling Builder and Visualization integration,Domo Data Models,?,1 2?,,,Yes,Customer Release,9/23/26,Chris Wright
DOMO-473591,AI Chat,No ,AI Chat V2 - Beta,AI Chat Enhancements,AI Chat improvements,1,Yes,,Yes,Customer Release,9/23/26,Ken Boyer
DOMO-475132,>,,Case Statement Builder,Calculated Columns: Rule builder or Analyzer: Rule builder for calculated columns,,2,,,Yes,Beta Available,9/16/26,Phillip Fuchs
DOMO-464660,Cloud Integrations?,Release Assets,Global & Fiscal Calendar Enhancements,Cloud Integrations: Calendar upgrades (fiscal & internationalization),,2,,,Yes,Beta Available,9/16/26,Sam Lowen
