Term,Branded Term?,OK to Translate?,Notes
Achievement,no,yes,
Admin,no,yes,
Agent Catalyst,yes,no,
Adrenaline,yes,no,
AI,no,no,
AI Chat,no,yes,"AI to remain in EN, okay to translate ""chat"""
AI Context,no,yes,"AI to remain in EN, okay to translate ""context"""
AI Dictionary,no,no,"AI to remain in EN, okay to translate ""dictionary"""
AI Playground,yes,no,
AI Service Layer,yes,no,Keep in EN
AI Readiness,no,yes,"AI to remain in EN, okay to translate ""readiness"""
Alert Builder,yes,no,
Alerts,no,yes,
Alerts Center,yes,no,
Analyzer,yes,no,
App,no,yes,
AppDB,yes,no,
Appstore,yes,no,
Asset Library,yes,no,
Battlecard,no,yes,
Beast Mode,yes,no,
Brand Kit,yes,no,
Buzz,yes,no,
Card,no,yes,
Card Builder,yes,no,
Chart,no,yes,
Cloud Integrations,yes,no,
Code Engine,yes,yes,
Collection,no,yes,
Community,no,yes,
Connector,no,yes,
Daily Domo,no,yes,
Data Center,yes,no,
Data Fusion,yes,no,
Data Product Exchange (DPX),yes,no,
Data Source,no,yes,
DataFlow,yes,no,
DataSet,yes,no,
Doc Card,yes,no,
Dojo,yes,no,
Domo,yes,no,
Domo AI,yes,no,
Domo Marketplace,yes,yes,
Domo Online Form,no,yes,
Domo University,yes,no,
DomoApp,yes,no,
DomoGraphics,yes,no,
Domo Workflows,yes,no,
Drill,no,yes,
Editor,no,yes,
Feedback,no,yes,
FileSets,yes,no,
Free,no,yes,
Freemium,no,yes,
Global Filters,no,yes,
Help Center,no,yes,
Inline Editing,no,yes,
Jupyter Workspaces,,no,
Instance,no,yes,
Launcher,yes,no,
Magic,yes,no,
Major Domo,yes,no,
Metrics,no,yes,
Metrics SQL,no,yes,
Alerts Center,yes,no,
Page,no,yes,
Participant,no,yes,
Personalized Data Permissions (PDP),no,no,
Playbooks,yes,no,
Privileged,no,yes,
Profile,no,yes,
Project,no,yes,
Projects and Tasks,no,yes,
Publication Groups,no,yes,
Publications,no,yes,
Queue,no,yes,
QuickStart,yes,no,
FileSets,Yes,no,
FileSet,yes,no,
Report Builder,yes,no,
Scheduled Reports,no,yes,
Slideshow,no,yes,
Summary Number,no,yes,
Sumo,yes,no,
Task,no,yes,
Task Center,yes,no,
Data Warehouse,yes,no,
Vault,yes,no,
Workbench,yes,no,
